position,player_name,salary,league,year,website,week
QB,Mike Glennon,5000,NFL,2014,DK,15
QB,Ryan Nassib,5000,NFL,2014,DK,15
QB,Matt McGloin,5000,NFL,2014,DK,15
QB,Matt Barkley,5000,NFL,2014,DK,15
QB,Aaron Murray,5000,NFL,2014,DK,15
QB,Brock Osweiler,5000,NFL,2014,DK,15
RB,Lamar Miller,5000,NFL,2014,DK,15
QB,Tom Savage,5000,NFL,2014,DK,15
QB,Jimmy Garoppolo,5000,NFL,2014,DK,15
QB,Dustin Vaughan,5000,NFL,2014,DK,15
WR,Andre Johnson,4900,NFL,2014,DK,15
RB,Daniel Herron,4900,NFL,2014,DK,15
RB,Isaiah Crowell,4900,NFL,2014,DK,15
WR,Steve Smith Sr.,4800,NFL,2014,DK,15
WR,Pierre Garcon,4800,NFL,2014,DK,15
WR,Martavis Bryant,4800,NFL,2014,DK,15
WR,Michael Crabtree,4700,NFL,2014,DK,15
TE,Coby Fleener,4700,NFL,2014,DK,15
RB,Ryan Mathews,4700,NFL,2014,DK,15
WR,Marques Colston,4600,NFL,2014,DK,15
WR,Doug Baldwin,4600,NFL,2014,DK,15
TE,Travis Kelce,4600,NFL,2014,DK,15
RB,Denard Robinson,4600,NFL,2014,DK,15
WR,Brandon Marshall,4500,NFL,2014,DK,15
TE,Antonio Gates,4500,NFL,2014,DK,15
TE,Delanie Walker,4400,NFL,2014,DK,15
RB,LeGarrette Blount,4400,NFL,2014,DK,15
TE,Mychal Rivera,4400,NFL,2014,DK,15
WR,Mohamed Sanu,4400,NFL,2014,DK,15
RB,Giovani Bernard,4400,NFL,2014,DK,15
WR,Chris Hogan,4400,NFL,2014,DK,15
WR,Nate Washington,4300,NFL,2014,DK,15
TE,Jordan Reed,4300,NFL,2014,DK,15
WR,Robert Woods,4300,NFL,2014,DK,15
RB,Jeremy Hill,4300,NFL,2014,DK,15
WR,Reggie Wayne,4200,NFL,2014,DK,15
TE,Heath Miller,4200,NFL,2014,DK,15
WR,Greg Jennings,4200,NFL,2014,DK,15
RB,Darren Sproles,4200,NFL,2014,DK,15
WR,Harry Douglas,4200,NFL,2014,DK,15
WR,Malcom Floyd,4200,NFL,2014,DK,15
RB,Chris Ivory,4200,NFL,2014,DK,15
RB,Shane Vereen,4200,NFL,2014,DK,15
RB,Montee Ball,4200,NFL,2014,DK,15
WR,Davante Adams,4200,NFL,2014,DK,15
RB,Frank Gore,4000,NFL,2014,DK,15
RB,Reggie Bush,4000,NFL,2014,DK,15
RB,Marcel Reece,4000,NFL,2014,DK,15
